package_name,on_cran,install,github_username,description
classInt,TRUE,TRUE,,"Choosing univariate class intervals for mapping or other graphics purposes."
colorspace,TRUE,TRUE,,"Explicit control over the HCL color scheme."
devtools,TRUE,TRUE,,"Used in the C1 survival for sourcing gists."
dplyr,TRUE,TRUE,,"Next generation of plyr."
epade,TRUE,TRUE,,"For the 3D bar chart. (Please notice that this package includes more than this feature.)"
ggplot2,TRUE,TRUE,,"Graphing."
ggthemes,TRUE,TRUE,,"Extra themes, scales and geoms for ggplot."
googleVis,TRUE,TRUE,,"JavaScript-based visualizations, like scrollable tables."
ggmap,TRUE,TRUE,,"Maps & graphics, based on ggplot."
grid,TRUE,TRUE,,"foundation underneath ggplot2."
gridExtra,TRUE,TRUE,,"Additional functions for manipulating `grid` objects."
knitr,TRUE,TRUE,,"For reporting."
lubridate,TRUE,TRUE,,"Consistent/convienent function signatures for manipulating dates"
MASS,TRUE,TRUE,,"for generating multivariate normal distributions, among other things"
mnormt,TRUE,TRUE,,"For calculating density of multivariate normal distribution"
pacman,TRUE,TRUE,,"Package Management Tool"
plotrix,TRUE,TRUE,,"Has extra graphing functions"
plyr,TRUE,TRUE,,"Important for most of our data manipulation."
RColorBrewer,TRUE,TRUE,,"Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/."
reshape2,TRUE,TRUE,,"Data manipulation not covered in plyr."
rgl,TRUE,TRUE,,"3D plotting."
rmarkdown,FALSE,TRUE,"rstudio","Needed for knitr and reports."
scales,TRUE,TRUE,,"Formating values in graphs."
testit,TRUE,TRUE,,"Has the useful `assert()` function."
wesanderson,TRUE,TRUE,,"Fun set of palettes inspired by Wes Anderson movies, collected by Karthik Ram (https://github.com/karthik) and http://wesandersonpalettes.tumblr.com/."
yaml,TRUE,TRUE,,"Needed for knitr and reports."
